"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 16:59:15 CST 2024","Tue Jan 23 16:59:15 CST 2024","65","testcase","test_api","TestApi","","","test_post_token[caseinfo1]",""
"passed","Tue Jan 23 16:59:15 CST 2024","Tue Jan 23 16:59:15 CST 2024","243","testcase","test_api","TestApi","","","test_post_token[caseinfo0]",""
"passed","Tue Jan 23 16:59:15 CST 2024","Tue Jan 23 16:59:15 CST 2024","161","testcase","test_api","TestApi","","","test_edit_flag",""
